Domain,Name Server
chinaunicom.cn,"ns.bta.net.cn.,ns2.bta.net.cn."
chinamobile.com,"ns1.cmmobile.cn.,ns1.cnmobile.net.,ns2.cmmobile.cn.,ns2.cnmobile.net."
zjtelecom.com.cn,"ns7.cnmsn.net.,ns8.cnmsn.net."
chinatelecom.cn,"dns1.chinatelecom.cn.,dns2.chinatelecom.cn."
alibabagroup.com,"ns1.alibabadns.com.,ns2.alibabadns.com."
chinatelecom.com.cn,"dns1.chinatelecom.com.cn.,dns2.chinatelecom.com.cn."
talktalkplc.com,"ds0.opaltelecom.net.,ds1.opaltelecom.net.,ds2.opaltelecom.net."
cernet.edu.cn,"dns.edu.cn.,dns2.edu.cn."
personal.com.py,"ns1.personal.net.py.,ns2.personal.net.py.,ns3.personal.net.py.,ns4.personal.net.py."
controld.com,"evan.ns.cloudflare.com.,liz.ns.cloudflare.com."
cnnic.cn,"a.cnnic.cn.,b.cnnic.cn.,c.cnnic.cn.,d.cnnic.cn.,e.cnnic.cn."
jsinfo.net,"ns.jsinfo.net.,ns.ptt.js.cn."
lmt.lv,"gsm2.lmt.lv.,lte4.lmt.lv.,ns2.online.lv."
kt.com,"name.kt.co.kr.,name2.kt.co.kr.,name3.kt.co.kr."
tencent.com,"ns1.qq.com.,ns2.qq.com.,ns3.qq.com.,ns4.qq.com."
nn.gx.cn,"ns.lzptt.gx.cn.,ns.nn.gx.cn."
cloudflare.com,"ns3.cloudflare.com.,ns4.cloudflare.com.,ns5.cloudflare.com.,ns6.cloudflare.com.,ns7.cloudflare.com."
iforte.co.id,"ns1.iforte.net.id.,ns2.iforte.net.id.,ns3.iforte.net.id.,ns4.iforte.net.id."
conac.cn,"ns1.sdc.org.cn.,ns2.sdc.org.cn.,ns3.sdc.org.cn."
umn.edu,"ns-1.umn.edu.,ns-2.umn.edu.,ns-3.umn.edu."
psn.co.id,"ns1.pesat.net.id.,ns2.pesat.net.id.,ns3.pesat.net.id."
fanavaidc.com,"ns1.fanavaidc.com.,ns2.fanavaidc.com."
k-wlan.at,"ns1.nameservice.at.,ns2.nameservice.at."
skbroadband.com,"ns.hananet.net.,ns2.hananet.net."
yahsat.ae,"pdns01.domaincontrol.com.,pdns02.domaincontrol.com."
metronet.com,"ns1.qservco.com.,ns2.qservco.com.,ns3.qservco.com."
pishgaman.net,"ns1.pishgaman.net.,ns2.pishgaman.net."
seacom.com,"ns3.seacomnet.com.,ns4.seacomnet.com."
globalconnect.no,"a.ns.isp.as2116.net.,b.ns.isp.as2116.net.,c.ns.isp.as2116.net.,d.ns.isp.as2116.net."
mpsedc.com,ccrac6.4cplus.com.
dns0.eu,"ns1.dns0.eu.,ns2.dns0.eu."
shatel.ir,"ns1.shatel.ir.,ns2.shatel.ir."
scn.com.cn,"dns1.cableplus.com.cn.,dns2.cableplus.com.cn.,dns3.cableplus.com.cn.,dns4.cableplus.com.cn.,dns5.cableplus.com.cn.,dns6.cableplus.com.cn."
claro.com.co,"w2kbogccdnsec.comcel.com.co.,w2kbogccdnsep.comcel.com.co.,w2kbogccdnses.comcel.com.co.,w2kbogccdnset.comcel.com.co."
microsoft.com,"ns1-39.azure-dns.com.,ns2-39.azure-dns.net.,ns3-39.azure-dns.org.,ns4-39.azure-dns.info."
idstrategy.com.ua,"ns.idstrategy.com.ua.,ns2.idstrategy.com.ua.,ns3.idstrategy.com.ua."
nextdns.io,"dawn.ns.cloudflare.com.,lee.ns.cloudflare.com."
lordvps.net,"ns1.khatibi.org.,ns2.khatibi.org."
fibrlink.com,"ns.fibrlink.net.,ns2.fibrlink.net."
asiatech.ir,"ns1.asiatech.ir.,ns2.asiatech.ir."
excitel.com,"alla.ns.cloudflare.com.,will.ns.cloudflare.com."
united.rs,"andy.ns.cloudflare.com.,kay.ns.cloudflare.com."
movistar.cl,"ns1-02.azure-dns.com.,ns2-02.azure-dns.net.,ns3-02.azure-dns.org.,ns4-02.azure-dns.info."
189.cn,"ns1.chinanet.cn.,ns2.chinanet.cn."
hgc-intl.com,"dnshost1.on-nets.com.,dnshost2.on-nets.com."
comcast.com,"dns101.comcast.net.,dns102.comcast.net.,dns103.comcast.net.,dns104.comcast.net.,dns105.comcast.net."
danielselectric.com,"ns1.mediatemple.net.,ns2.mediatemple.net."
china-entercom.net,"dns1.cibonet.com.,dns2.cibonet.com."
transtelco.net,"ns00.transtelco.net.,ns01.transtelco.net.,ns02.transtelco.net.,ns03.transtelco.net.,ns04.transtelco.net."
dream-mark1.co.kr,"ns.dreamline.co.kr.,ns2.dreamline.co.kr."
tigo.com.co,"birlocha.une.net.co.,lauta.une.net.co.,nsbog01.une.net.co."
tiscali.it,"barakus.tiscali.com.,hannibal.tiscali.com.,murdock.tiscali.com."
parspack.com,"ns10.parspack.com.,ns11.parspack.com.,ns12.parspack.com."
gd.gov.cn,"ns1.gd.gov.cn.,ns2.gd.gov.cn."
bgctv.com.cn,"ns1.alidns.com.,ns2.alidns.com."
zastava.net.ua,"nsa1.srv53.org.,nsa2.srv53.com.,nsa3.srv53.net.,nsb1.srv53.com.,nsb3.srv53.net.,nsb4.srv53.org.,nsc3.srv53.net.,nsc4.srv53.com.,nsc4.srv53.org.,nsd1.srv53.com.,nsd2.srv53.net.,nsd2.srv53.org."
cnic.cn,"ns3.cstnet.cn.,ns4.cstnet.cn."
megacable.com.mx,"a1-223.akam.net.,a11-64.akam.net.,a16-65.akam.net.,a26-65.akam.net.,a4-64.akam.net.,a9-65.akam.net."
vodafone.com.tr,"ns1.vodafone.com.tr.,ns2.vodafone.com.tr.,ns3.vodafone.com.tr."
atrinnet.net,"ns5.padidar.net.,ns6.padidar.net."
netvigator.com,"ns4.netvigator.com.,ns5.netvigator.com."
cat.net.th,"ds.cat.net.th.,myna.cat.net.th.,teal.cat.net.th."
telepermit.co.nz,"ns1.outwide.cloud.,ns2.outwide.cloud.,ns3.outwide.cloud.,ns4.outwide.cloud."
