Domain,Name Server,Provider,Count
chinaunicom.cn,"ns.bta.net.cn.,ns2.bta.net.cn.","UNICOM-BJ,UNICOM-BJ",3269
chinamobile.com,"ns1.cmmobile.cn.,ns1.cnmobile.net.,ns2.cmmobile.cn.,ns2.cnmobile.net.","CMNET,CMNET,CMNET,CMNET",178
zjtelecom.com.cn,"ns7.cnmsn.net.,ns8.cnmsn.net.","CHINANET-SH,UNICOM",683
chinatelecom.cn,"dns1.chinatelecom.cn.,dns2.chinatelecom.cn.","CT-CLOUDYCOMPANY,CHINANET-SH",922
alibabagroup.com,"ns1.alibabadns.com.,ns2.alibabadns.com.","ALICLOUD-US,Taobao",15870
chinatelecom.com.cn,"dns1.chinatelecom.com.cn.,dns2.chinatelecom.com.cn.","CT-CLOUDYCOMPANY,CHINANET-SH",7151
talktalkplc.com,"ds0.opaltelecom.net.,ds1.opaltelecom.net.,ds2.opaltelecom.net.","UK-OPALNET-20000413,TTT-NEC-SLB,UK-OPALNET-20000413",3
cernet.edu.cn,"dns.edu.cn.,dns2.edu.cn.","CERNET-CN,BJR-CERNET",2506
personal.com.py,"ns1.personal.net.py.,ns2.personal.net.py.,ns3.personal.net.py.,ns4.personal.net.py.","200.3.248.0 - 200.3.255.255,190.104.128.0 - 190.104.191.255,190.104.128.0 - 190.104.191.255,190.104.128.0 - 190.104.191.255",1
controld.com,"evan.ns.cloudflare.com.,liz.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",38
cnnic.cn,"a.cnnic.cn.,b.cnnic.cn.,c.cnnic.cn.,d.cnnic.cn.,e.cnnic.cn.","CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN",2319
jsinfo.net,"ns.jsinfo.net.,ns.ptt.js.cn.","CHINANET-JS,CHINANET-JS",125
lmt.lv,"gsm2.lmt.lv.,lte4.lmt.lv.,ns2.online.lv.","LMT,LV-LMT-20080326,APOLLO-LATTELECOM-SERVICES",18
kt.com,"name.kt.co.kr.,name2.kt.co.kr.,name3.kt.co.kr.","KORNET-KR,KORNET-KR,KORNET-KR",27
tencent.com,"ns1.qq.com.,ns2.qq.com.,ns3.qq.com.,ns4.qq.com.","CHINANET-SH,TENCENT-NET-AP,TENCENT-NET-AP,CHINANET-GD",214
nn.gx.cn,"ns.lzptt.gx.cn.,ns.nn.gx.cn.","CHINANET-GX,CHINANET-GX",17
cloudflare.com,"ns3.cloudflare.com.,ns4.cloudflare.com.,ns5.cloudflare.com.,ns6.cloudflare.com.,ns7.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET",189
iforte.co.id,"ns1.iforte.net.id.,ns2.iforte.net.id.,ns3.iforte.net.id.,ns4.iforte.net.id.","SolusiNET,SOLUSINET-ID,SOLUSINET-SOLUSI,SOLUSINET-ID",293
conac.cn,"ns1.sdc.org.cn.,ns2.sdc.org.cn.,ns3.sdc.org.cn.","AP-CONAC-CN,AP-CONAC-CN,AP-CONAC-CN",14
umn.edu,"ns-1.umn.edu.,ns-2.umn.edu.,ns-3.umn.edu.","UMN-NET,MSFT,AT-88-Z",1
psn.co.id,"ns1.pesat.net.id.,ns2.pesat.net.id.,ns3.pesat.net.id.","PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR",302
fanavaidc.com,"ns1.fanavaidc.com.,ns2.fanavaidc.com.","IR-FIDC-20070828,IR-FIDC-20070828",1
k-wlan.at,"ns1.nameservice.at.,ns2.nameservice.at.","AT-MAXMOBIL-20100531,UPC-INFRASTRUCTURE",1
skbroadband.com,"ns.hananet.net.,ns2.hananet.net.","broadNnet-KR,broadNnet-KR",22
yahsat.ae,"pdns01.domaincontrol.com.,pdns02.domaincontrol.com.","GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",3
metronet.com,"ns1.qservco.com.,ns2.qservco.com.,ns3.qservco.com.","CINER-3-206-225-75-128-27,CINER-3-PLU,UK-MICROSOFT-20000324",1
pishgaman.net,"ns1.pishgaman.net.,ns2.pishgaman.net.","IR-PTE-TEHRAN-20120829,IR-PTE-TEHRAN-20120829",4
seacom.com,"ns3.seacomnet.com.,ns4.seacomnet.com.",,1
globalconnect.no,"a.ns.isp.as2116.net.,b.ns.isp.as2116.net.,c.ns.isp.as2116.net.,d.ns.isp.as2116.net.","SYSEDATA-NET,SYSEDATACOLO-NET,SYSEHOSTING-NET,LINODE-UK",1
mpsedc.com,ccrac6.4cplus.com.,The DNS query name does not exist: ccrac6.4cplus.com.,9
dns0.eu,"ns1.dns0.eu.,ns2.dns0.eu.","DNS0-3,DNS0-1",1
shatel.ir,"ns1.shatel.ir.,ns2.shatel.ir.","SHTL-NET-INFRA,SHTL-DSL-THR",3
scn.com.cn,"dns1.cableplus.com.cn.,dns2.cableplus.com.cn.,dns3.cableplus.com.cn.,dns4.cableplus.com.cn.,dns5.cableplus.com.cn.,dns6.cableplus.com.cn.","COLNET,COLNET,COLNET,COLNET,COLNET,COLNET",1
claro.com.co,"w2kbogccdnsec.comcel.com.co.,w2kbogccdnsep.comcel.com.co.,w2kbogccdnses.comcel.com.co.,w2kbogccdnset.comcel.com.co.","190.126.0.0 - 190.127.255.255,NETBLK-WDSPCO-CBLK6,NETBLK-WDSPCO-CBLK6,190.126.0.0 - 190.127.255.255",1
microsoft.com,"ns1-39.azure-dns.com.,ns2-39.azure-dns.net.,ns3-39.azure-dns.org.,ns4-39.azure-dns.info.","MSFT,MSFT,MSFT,MSFT",2
idstrategy.com.ua,"ns.idstrategy.com.ua.,ns2.idstrategy.com.ua.,ns3.idstrategy.com.ua.","IDSTRATEGY-VM,IDSTRATEGY-VM,CLIENTS_DC_EU",1
nextdns.io,"dawn.ns.cloudflare.com.,lee.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",22
lordvps.net,"ns1.khatibi.org.,ns2.khatibi.org.","The DNS query name does not exist: ns1.khatibi.org.,The DNS query name does not exist: ns2.khatibi.org.",1
fibrlink.com,"ns.fibrlink.net.,ns2.fibrlink.net.","FibrLINK,FibrLINK",1
asiatech.ir,"ns1.asiatech.ir.,ns2.asiatech.ir.","IR-ASIATECH-NET,IR-ASIATECH-NET",6
excitel.com,"alla.ns.cloudflare.com.,will.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
united.rs,"andy.ns.cloudflare.com.,kay.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
movistar.cl,"ns1-02.azure-dns.com.,ns2-02.azure-dns.net.,ns3-02.azure-dns.org.,ns4-02.azure-dns.info.","MSFT,MSFT,MSFT-SV3-TEST,MSFT",1
189.cn,"ns1.chinanet.cn.,ns2.chinanet.cn.","CHINANET-BB,CHINANET-BB",1
hgc-intl.com,"dnshost1.on-nets.com.,dnshost2.on-nets.com.","HGCGLOBAL-HK,HGCGLOBAL-HK",1
comcast.com,"dns101.comcast.net.,dns102.comcast.net.,dns103.comcast.net.,dns104.comcast.net.,dns105.comcast.net.","JUMPSTART-4,COMCAST-18,COMCAST-18,COMCAST-18,COMCAST-18",1
danielselectric.com,"ns1.mediatemple.net.,ns2.mediatemple.net.","GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",56
china-entercom.net,"dns1.cibonet.com.,dns2.cibonet.com.","CHINAENTERCOM,CHINAENTERCOM",2
transtelco.net,"ns00.transtelco.net.,ns01.transtelco.net.,ns02.transtelco.net.,ns03.transtelco.net.,ns04.transtelco.net.","TIGGEE,TIGGEE,TIGGEE,TIGGEE,TIGGEE",1
dream-mark1.co.kr,"ns.dreamline.co.kr.,ns2.dreamline.co.kr.","DREAMX-KR,DREAMX-KR",1
tigo.com.co,"birlocha.une.net.co.,lauta.une.net.co.,nsbog01.une.net.co.","200.13.224.0 - 200.13.255.255,200.13.224.0 - 200.13.255.255,200.31.208.0 - 200.31.223.255",1
tiscali.it,"barakus.tiscali.com.,hannibal.tiscali.com.,murdock.tiscali.com.","TISCALINET-DATACENTER,IT-TISCALI-20080514,TISCALINET-DATACENTER",1
parspack.com,"ns10.parspack.com.,ns11.parspack.com.,ns12.parspack.com.","ClouDNS,ClouDNS,ClouDNS",2
gd.gov.cn,"ns1.gd.gov.cn.,ns2.gd.gov.cn.","Digital-Guangdong,Digital-Guangdong",6
bgctv.com.cn,"ns1.alidns.com.,ns2.alidns.com.","ALISOFT,ALISOFT",3
zastava.net.ua,"nsa1.srv53.org.,nsa2.srv53.com.,nsa3.srv53.net.,nsb1.srv53.com.,nsb3.srv53.net.,nsb4.srv53.org.,nsc3.srv53.net.,nsc4.srv53.com.,nsc4.srv53.org.,nsd1.srv53.com.,nsd2.srv53.net.,nsd2.srv53.org.","OVH_73464624,OVH_73464624,OVH_73464624,INVEST-INTERNET-LTD,INVEST-INTERNET-LTD,INVEST-INTERNET-LTD,MIROHOST,MIROHOST,MIROHOST,US-INTERNET1-20090520,US-INTERNET1-20090520,US-INTERNET1-20090520",1
cnic.cn,"ns3.cstnet.cn.,ns4.cstnet.cn.","CSTNET-CN,CSTNET-CN",6
megacable.com.mx,"a1-223.akam.net.,a11-64.akam.net.,a16-65.akam.net.,a26-65.akam.net.,a4-64.akam.net.,a9-65.akam.net.","AKAMAI-PI-1,AKAMAI-PA,AKAMAI,AKAMAI,AKAMAI-ARIN-1,AKAMAI",1
vodafone.com.tr,"ns1.vodafone.com.tr.,ns2.vodafone.com.tr.,ns3.vodafone.com.tr.","VDF095,VDF097,TR-RTNET-981210",1
atrinnet.net,"ns5.padidar.net.,ns6.padidar.net.","IR-PADIDARTECHNOLOGY-20120727,IR-PADIDARTECHNOLOGY-20120727",1
netvigator.com,"ns4.netvigator.com.,ns5.netvigator.com.","NETVIGATOR,NETVIGATOR",5
cat.net.th,"ds.cat.net.th.,myna.cat.net.th.,teal.cat.net.th.","CAT-IDC2-Service,CAT-IDCnonthaburi-Service,CAT-IDC-Service",4
telepermit.co.nz,"ns1.outwide.cloud.,ns2.outwide.cloud.,ns3.outwide.cloud.,ns4.outwide.cloud.","AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-EC2,AMAZON-BYOIP",1
itglobal.com,"ns01.itglobal.com.,ns02.itglobal.com.,ns03.itglobal.com.,ns04.itglobal.com.","RU-ITGLOBAL,BY-ITGLOBAL,NL-ITGLOBAL,KZ-ITGLOBAL-1",1
