Domain,Name Server,Count
lumen.com,"authns1.qwest.net.,authns2.qwest.net.",2
cnnic.cn,"a.cnnic.cn.,b.cnnic.cn.,c.cnnic.cn.,d.cnnic.cn.,e.cnnic.cn.",2141
chinaunicom.cn,"ns.bta.net.cn.,ns2.bta.net.cn.",2299
chinamobile.com,"ns1.cmmobile.cn.,ns1.cnmobile.net.,ns2.cmmobile.cn.,ns2.cnmobile.net.",187
alibabagroup.com,"ns1.alibabadns.com.,ns2.alibabadns.com.",21269
kt.com,"name.kt.co.kr.,name2.kt.co.kr.,name3.kt.co.kr.",61
chinatelecom.com.cn,"dns1.chinatelecom.com.cn.,dns2.chinatelecom.com.cn.",9624
chinatelecom.cn,"dns1.chinatelecom.cn.,dns2.chinatelecom.cn.",1489
cloudflare.com,"ns3.cloudflare.com.,ns4.cloudflare.com.,ns5.cloudflare.com.,ns6.cloudflare.com.,ns7.cloudflare.com.",314
psn.co.id,"ns1.pesat.net.id.,ns2.pesat.net.id.,ns3.pesat.net.id.",394
cernet.edu.cn,"dns.edu.cn.,dns2.edu.cn.",3819
qtsc.com.vn,"dns1.qtsc.com.vn.,dns132.qtsctelecom.vn.,dns133.qtsctelecom.vn.,dns135n.qtsctelecom.vn.,dns2.qtsc.com.vn.,dns3.qtsc.com.vn.,dns3.qtsctelecom.vn.",1
rtat.net,"ns1.bodis.com.,ns2.bodis.com.",226
danielselectric.com,"ns1.mediatemple.net.,ns2.mediatemple.net.",29
amazon.com,"ns1.amzndns.co.uk.,ns1.amzndns.com.,ns1.amzndns.net.,ns1.amzndns.org.,ns2.amzndns.co.uk.,ns2.amzndns.com.,ns2.amzndns.net.,ns2.amzndns.org.",11
pyur.com,"auth02.ns.de.uu.net.,auth52.ns.de.uu.net.",1
nextdns.io,"dawn.ns.cloudflare.com.,lee.ns.cloudflare.com.",34
iforte.co.id,"ns1.iforte.net.id.,ns2.iforte.net.id.,ns3.iforte.net.id.,ns4.iforte.net.id.",194
spectra.co,"ns2.spectranet.com.,ns5.spectranet.com.",1
server.ir,"ali.ns.cloudflare.com.,ed.ns.cloudflare.com.",1
avantnet.ru,"ns1.avantnet.ru.,ns2.avantnet.ru.",1
controld.com,"evan.ns.cloudflare.com.,liz.ns.cloudflare.com.",25
charter.com,"ns1.charter.com.,ns2.charter.com.,ns3.charter.com.,ns4.charter.com.",2
yahsat.ae,"pdns01.domaincontrol.com.,pdns02.domaincontrol.com.",3
lenovo.com,"a1-79.akam.net.,a11-64.akam.net.,a24-65.akam.net.,a28-66.akam.net.,a3-67.akam.net.,a8-64.akam.net.",1
isnet.net.tr,"ank.isbank.net.tr.,ns1.isnet.net.tr.,ns3.is.net.tr.",1
tencent.com,"ns1.qq.com.,ns2.qq.com.,ns3.qq.com.,ns4.qq.com.",35
telkom.co.za,"igubu.saix.net.,ns2.telkom.co.za.,ns3.telkom.co.za.",1
gfiber.com,"ns-cloud-c1.googledomains.com.,ns-cloud-c2.googledomains.com.,ns-cloud-c3.googledomains.com.,ns-cloud-c4.googledomains.com.",1
sifycorp.com,"pdns.sify.net.,sdns.sify.net.",1
