Domain,Name Server,Provider,Count
lumen.com,"authns1.qwest.net.,authns2.qwest.net.","CENTURYLINK-LEGACY-QWEST-INET-8,CENTURYLINK-LEGACY-QWEST-INET-3",2
cnnic.cn,"a.cnnic.cn.,b.cnnic.cn.,c.cnnic.cn.,d.cnnic.cn.,e.cnnic.cn.","CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN",2141
chinaunicom.cn,"ns.bta.net.cn.,ns2.bta.net.cn.","UNICOM-BJ,UNICOM-BJ",2299
chinamobile.com,"ns1.cmmobile.cn.,ns1.cnmobile.net.,ns2.cmmobile.cn.,ns2.cnmobile.net.","CMNET,CMNET,CMNET,CMNET",187
alibabagroup.com,"ns1.alibabadns.com.,ns2.alibabadns.com.","ALICLOUD-US,Taobao",21269
kt.com,"name.kt.co.kr.,name2.kt.co.kr.,name3.kt.co.kr.","KORNET-KR,KORNET-KR,KORNET-KR",61
chinatelecom.com.cn,"dns1.chinatelecom.com.cn.,dns2.chinatelecom.com.cn.","CT-CLOUDYCOMPANY,CHINANET-SH",9624
chinatelecom.cn,"dns1.chinatelecom.cn.,dns2.chinatelecom.cn.","CT-CLOUDYCOMPANY,CHINANET-SH",1489
cloudflare.com,"ns3.cloudflare.com.,ns4.cloudflare.com.,ns5.cloudflare.com.,ns6.cloudflare.com.,ns7.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET",314
psn.co.id,"ns1.pesat.net.id.,ns2.pesat.net.id.,ns3.pesat.net.id.","PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR",394
cernet.edu.cn,"dns.edu.cn.,dns2.edu.cn.","CERNET-CN,BJR-CERNET",3819
qtsc.com.vn,"dns1.qtsc.com.vn.,dns132.qtsctelecom.vn.,dns133.qtsctelecom.vn.,dns135n.qtsctelecom.vn.,dns2.qtsc.com.vn.,dns3.qtsc.com.vn.,dns3.qtsctelecom.vn.","headofficenetwork-net,headofficenetwork-net,headofficenetwork-net,headofficenetwork-net,headofficenetwork-net,headofficenetwork-net,headofficenetwork-net",1
rtat.net,"ns1.bodis.com.,ns2.bodis.com.","US-STACKPATH-20160615,BODIS-A",226
danielselectric.com,"ns1.mediatemple.net.,ns2.mediatemple.net.","GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",29
amazon.com,"ns1.amzndns.co.uk.,ns1.amzndns.com.,ns1.amzndns.net.,ns1.amzndns.org.,ns2.amzndns.co.uk.,ns2.amzndns.com.,ns2.amzndns.net.,ns2.amzndns.org.","SSL-1134,SSL-1134,SSL-1134,SSL-1134,SECURITYSERVICES,SSL-1134,SSL-1134,SSL-1134",11
pyur.com,"auth02.ns.de.uu.net.,auth52.ns.de.uu.net.","EUNET-DE,UUNET-DE-VIRTUAL-NS",1
nextdns.io,"dawn.ns.cloudflare.com.,lee.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",34
