Provider,Count
"ALICLOUD-US,Taobao",21269
"CT-CLOUDYCOMPANY,CHINANET-SH",9624
"CERNET-CN,BJR-CERNET",3819
"UNICOM-BJ,UNICOM-BJ",2299
"CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN",2141
"CT-CLOUDYCOMPANY,CHINANET-SH",1489
"PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR",394
"CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET",314
"US-STACKPATH-20160615,BODIS-A",226
"SolusiNET,SOLUSINET-ID,SOLUSINET-SOLUSI,SOLUSINET-ID",194
"CMNET,CMNET,CMNET,CMNET",187
"KORNET-KR,KORNET-KR,KORNET-KR",61
"UNICOM-GD,BJTEL,TENCENT-NET-AP,UNICOM-TJ",35
"CLOUDFLARENET,CLOUDFLARENET",34
"GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",29
"CLOUDFLARENET,CLOUDFLARENET",25
"CHINANET-GX,CHINANET-GX",18
"SSL-1134,SSL-1134,SSL-1134,SSL-1134,SECURITYSERVICES,SSL-1134,SSL-1134,SSL-1134",11
"CLOUDFLARENET,CLOUDFLARENET",9
"AP-CONAC-CN,AP-CONAC-CN,AP-CONAC-CN",6
"broadNnet-KR,broadNnet-KR",6
"HWCSNET,HWCSNET,Huawei-HK-CLOUDS,Huawei-ZA-CLOUDS",5
"FANAPTELECOM-NETWORK,FANAPTELECOM-NETWORK",5
"CSTNET-CN,CSTNET-CN",5
"LMT,LV-LMT-20080326,APOLLO-LATTELECOM-SERVICES",5
"OCN,HTTP lookup failed for http://whois.nic.ad.jp/cgi-bin/whois_gw?lang=%2Fe&key=203.139.160.19&submit=query.",5
"IR-PTE-TEHRAN-20120829,IR-PTE-TEHRAN-20120829",5
IR-DCC-20101018,4
"Sefroyek-B2B,IR-ASIATECH-DC",4
"HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.252.16 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.250.16 with error code 403.",4
"SBUN,SBUN",4
"NETVIGATOR,NETVIGATOR",4
"GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",3
"TIGGEE,TIGGEE,TIGGEE,TIGGEE,TIGGEE",3
"SHTL-NET-INFRA,SHTL-DSL-THR",2
"CENTURYLINK-LEGACY-QWEST-INET-8,CENTURYLINK-LEGACY-QWEST-INET-3",2
"SYMPHONY-INTERNET,SYMPHONY-INTERNET",2
"AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",2
"PLATEAU-INTERNET-NETWORK,PLATEAU-INTERNET-NETWORK",2
"AVANTEL,AVANTEL",2
"IR-ASIATECH-NET,IR-ASIATECH-NET",2
"ALISOFT,ALISOFT",2
