Provider,Count
"ALICLOUD-US,Taobao",22046
"CT-CLOUDYCOMPANY,CHINANET-SH",7594
"CERNET-CN,BJR-CERNET",6513
"UNICOM-BJ,UNICOM-BJ",2714
"CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN",2594
"CT-CLOUDYCOMPANY,CHINANET-SH",1308
"PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR",377
"CHINANET-JS,CHINANET-JS",264
"SolusiNET,SOLUSINET-ID,SOLUSINET-SOLUSI,SOLUSINET-ID",234
"CHINANET-SH,CHINANET-SH",219
"CMNET,CMNET,CMNET,CMNET",196
"TENCENT-NET-AP,TencentCloud,CMNET-shanghai,UNICOM-CQ",116
"GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",57
"CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET",54
"CLOUDFLARENET,CLOUDFLARENET",30
"CLOUDFLARENET,CLOUDFLARENET",19
"AP-CONAC-CN,AP-CONAC-CN,AP-CONAC-CN",17
"KORNET-KR,KORNET-KR,KORNET-KR",14
"CLOUDFLARENET,CLOUDFLARENET",10
"TIGGEE,TIGGEE,TIGGEE,TIGGEE,TIGGEE",10
"broadNnet-KR,broadNnet-KR",10
"LMT,LV-LMT-20080326,APOLLO-LATTELECOM-SERVICES",10
"FANAPTELECOM-NETWORK,FANAPTELECOM-NETWORK,FANAPTELECOM-NETWORK,FANAPTELECOM-NETWORK",9
"CSTNET-CN,CSTNET-CN",8
"INTERACTIVE3D,i3Dnet-legacyinfra-uslax1,I3DNET-AP",5
"Digital-Guangdong,Digital-Guangdong",5
"GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",5
"IR-PTE-TEHRAN-20120829,IR-PTE-TEHRAN-20120829",5
"NETVIGATOR,NETVIGATOR",5
"CHINAENTERCOM,CHINAENTERCOM",5
"ALISOFT,ALISOFT",4
"DXTNET,DXTNET",4
"SBUN,SBUN",4
"SE-SWIPNET,SUNET-BACKBONE,SE-SWIPNET",3
"SHTL-NET-INFRA,SHTL-DSL-THR",3
"Tech-com,Tech-com,IR-AFRANET-20071221,IR-ASIATECH-DC,HostiranNetwork",2
"OCN,OCN",2
"FibrLINK,FibrLINK",2
"CLOUDFLARENET,CLOUDFLARENET",2
"CLOUDFLARENET,CLOUDFLARENET",2
"AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,HTTP lookup failed for http://rdap.arin.net/registry/ip/23.74.25.64.,AKAMAI-PA",2
"HINET-NET,HINET-NET,HINET-NET",2
"IR-HESABGAR-T,IR-HESABGAR-T,IR-HESABGAR-T",2
"IR-RSPN,IR-RSPN",2
"CLOUDFLARENET,CLOUDFLARENET",2
The DNS query name does not exist: ccrac6.4cplus.com.,2
"PATRIKWEB-PROVIDER,PatrikWeb-Backbone",1
"Swisscom-ITS,Swisscom-ITS,CH-SWISSCOM-ITS-193-222",1
"IR-ASIATECH-NET,IR-ASIATECH-NET",1
"SUNRISE-DNS-NET,SUNRISE-DNS-NET,SUNRISE-DNS-NET,SUNRISE-DNS-NET",1
NET-149-28-240-0-23,1
"OPENDNS-NET-2,OpenDNS-RIPE,OPENDNS-NET-2",1
"BUCKEYE-CABLESYSTEM,BUCKEYE-CABLESYSTEM,AMAZON-IAD",1
"UNICOM-HE,CHINANET-IDC-BJ,CMNET,CHINANET-GD,Baidu",1
"CGOC-RESERVED4,CGOC-RESERVED1,COQB-TR03,COQB-TR03",1
"GOOGLE,GOOGLE,SONET-NET,SONET-NET",1
"VEETIME-TW,VEETIME-TW,VEETIME-TW",1
"PT-TELEPAC-960515,TELEPAC-SERVICES,PT-TELEPAC-960515,TELEPAC-SERVICES",1
"187.191.64.0 - 187.191.95.255,187.191.64.0 - 187.191.95.255,200.57.128.0 - 200.57.159.255,200.57.128.0 - 200.57.159.255",1
"NETNITCO,NETNITCO,NETNITCO",1
"PRTC-LAURENS-IP-BLOCK-1,PRTC-LAURENS-IP-BLOCK-1",1
"BITel-Server-Network,BITel-Server-Network,STADTWERKE-BIELEFELD",1
"CENTURYLINK-LEGACY-QWEST-INET-8,CENTURYLINK-LEGACY-QWEST-INET-3",1
"GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",1
"STRATUSIQ,STRATUSIQ",1
"AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",1
"45.6.140.0 - 45.6.143.255,45.6.140.0 - 45.6.143.255",1
"MASTER01-TH,csloxinfo-th,TH_AIS_Infrastructure,TH_AIS_Infrastructure",1
"FR-PROXAD,FR-PROXAD,ONLINENET_DEDICATED_SERVERS",1
"tinp-net,tinp-net",1
"MONSTERNETT,MONSTERNETT",1
"HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.252.16 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.250.16 with error code 403.",1
"INCAPSULA-NETWORK,INCAPSULA-NETWORK",1
"CEPATNET-ID,ID-MORATELINDONAP-NET-5,MORATELINDO-SERVER-FARM-JKT",1
"JUMPSTART-4,COMCAST-18,COMCAST-18,COMCAST-18,COMCAST-18",1
"AMAZON-EC2,HTTP lookup failed for http://rdap.arin.net/registry/ip/205.251.192.144.,AMAZON-BYOIP,AMAZON-BYOIP",1
"COLO4-BLK6,COLO4-BLK6",1
"VODAFONE-IP-SERVICE,VODAFONE-IP-SERVICE,VODAFONE-IP-SERVICE",1
"CLOUDFLARENET,CLOUDFLARENET",1
"HGCGLOBAL-HK,HGCGLOBAL-HK",1
"Amin-IDC-Network,Amin-IDC-Network,CLOUD-FSN1,Amin-IDC-Network",1
"CLOUDFLARENET,CLOUDFLARENET",1
"NUCDN-ARIN-4,NUCDN-ARIN-1,NUCDN-ARIN-4,NUCDN-ARIN-1",1
