ASN Info,Domain,Count
AS37963,alibabagroup.com,254
AS4538,cernet.edu.cn,139
AS4134,chinatelecom.com.cn,134
AS63612,cnnic.cn,84
AS4837,chinaunicom.cn,75
AS4811,chinatelecom.com.cn,63
AS134771,chinatelecom.cn,42
AS4808,chinaunicom.cn,40
AS9875,psn.co.id,33
AS23650,jsinfo.net,28
AS4812,chinatelecom.com.cn,28
AS17995,iforte.co.id,26
AS58563,chinatelecom.cn,25
AS58461,zjtelecom.com.cn,25
AS38283,chinatelecom.cn,23
AS4847,bta.net.cn,23
AS45090,tencent.com,18
AS139007,hh.nm.cn,18
AS138950,chinatelecom.cn,16
AS205157,danielselectric.com,13
AS56041,chinamobile.com,12
AS13335,cloudflare.com,12
AS9808,10086.cn,12
AS56048,chinamobile.com,11
AS134238,chinatelecom.cn,9
AS140292,chinatelecom.cn,9
AS34939,nextdns.io,8
AS136188,chinatelecom.cn,8
AS137697,chinatelecom.cn,8
AS398962,controld.com,7
AS4766,kt.com,6
AS137702,chinatelecom.cn,6
AS24445,chinamobile.com,5
AS23724,chinatelecom.cn,5
AS58448,conac.cn,5
AS136200,chinatelecom.cn,5
AS134764,chinatelecom.cn,5
AS58466,chinatelecom.cn,4
AS7497,cnic.cn,4
AS136190,chinatelecom.cn,4
AS9318,skbroadband.com,4
AS56046,chinamobile.com,4
AS133982,excitel.com,4
AS24921,lmt.lv,4
AS49544,i3d.net,3
AS206283,yahsat.ae,3
AS206862,fanaptelecom.net,3
AS4760,netvigator.com,3
AS31549,shatel.ir,3
AS63663,cnnic.cn,3
AS4835,chinatelecom.com.cn,3
AS58543,chinatelecom.cn,3
AS32098,transtelco.net,3
AS10212,china-entercom.net,3
AS133774,chinatelecom.cn,3
AS134773,gd.gov.cn,3
AS139019,chinatelecom.cn,3
AS1257,tele2.se,3
AS134810,chinamobile.com,2
AS37937,cei.gov.cn,2
AS25184,afranet.com,2
AS38019,chinamobile.com,2
AS133776,chinatelecom.cn,2
AS17429,bgctv.com.cn,2
AS17621,chinaunicom.cn,2
AS34918,pishgaman.net,2
AS3462,hinet.net,2
AS42337,respina.net,2
AS140444,binawan.ac.id,2
AS58542,chinatelecom.cn,2
AS136291,mpsedc.com,2
AS56765,sbu.ac.ir,2
AS4713,ntt.com,2
AS137788,cnnic.cn,2
AS9814,fibrlink.com,2
AS1897,nos.pt,2
AS36236,netactuate.com,2
AS133775,chinatelecom.cn,1
AS134305,svcpl.net.in,1
AS54825,packet.com,1
AS18182,so-net.net.tw,1
AS52242,yota.com.ni,1
AS51026,dadepardazimobin.com,1
AS50266,odido.nl,1
AS133335,polinpdg.ac.id,1
AS49100,pishgaman.net,1
AS134762,chinatelecom.cn,1
AS48359,taknet.ir,1
AS48314,ip-projects.de,1
AS48147,aminidc.com,1
AS137693,nn.gx.cn,1
AS134420,chinatelecom.cn,1
AS131111,moratelindo.co.id,1
AS132525,chinamobile.com,1
AS6939,he.net,1
AS1136,idstrategy.com.ua,1
AS9534,maxis.com.my,1
AS9416,homeplus.net.tw,1
AS9381,hkbnes.net,1
AS11872,syr.edu,1
AS9304,hgc-intl.com,1
AS9269,hkbn.net,1
AS8151,telmex.com,1
AS7922,comcast.com,1
AS7738,vtal.com,1
AS12322,free.fr,1
AS701,verizonbusiness.com,1
AS6848,telenet.be,1
AS58519,chinatelecom.cn,1
AS6730,sunrise.ch,1
AS64089,dnsfilter.com,1
AS63859,myrepublic.co.id,1
AS6368,nitco.com,1
AS12552,globalconnect.se,1
AS62442,fanavaidc.com,1
AS60631,parspack.com,1
AS6057,antel.com.uy,1
AS60077,asiatech.ir,1
AS60068,cdn77.com,1
AS59009,cnnic.cn,1
AS12708,talktalkplc.com,1
AS4788,tm.com.my,1
AS45361,jcntv.co.kr,1
AS14,columbia.edu,1
AS17639,convergeict.com,1
AS16509,amazon.com,1
AS31476,morva.net,1
AS30722,vodafone.it,1
AS29518,bredband2.com,1
AS28438,redit.com,1
AS265531,lumenet.com.mx,1
AS262916,megacable.com.mx,1
AS2516,kddi.com,1
AS24971,master.cz,1
AS16863,homesc.com,1
AS24400,chinamobile.com,1
AS22884,totalplay.com.mx,1
AS31898,oracle.com,1
AS212772,adguard.com,1
AS2116,globalconnect.no,1
AS17809,vee.com.tw,1
AS17858,lguplus.co.kr,1
AS18049,topmso.com.tw,1
AS20473,constant.com,1
AS203394,azea.network,1
AS202029,taknet.ir,1
AS201577,monsternett.no,1
AS198967,bitel.de,1
AS198731,priscoelectronica.com,1
AS31877,accelecom.net,1
AS15967,nazwa.pl,1
AS47216,tookan.tech,1
AS15525,meo.pt,1
AS45458,ais.co.th,1
AS140061,xn.qh.cn,1
AS18671,prtcnet.com,1
AS43418,antidot.ua,1
AS4230,claro.com.br,1
AS141995,contabo.com,1
AS41164,chess.no,1
AS14754,claro.com.gt,1
AS397027,linesystems.com,1
AS38365,baidu.com,1
AS15221,stratusiq.com,1
AS36692,opendns.com,1
AS3215,orange.com,1
AS35986,vyvebroadband.com,1
AS3549,lumen.com,1
AS35100,patrikweb.net,1
AS15964,camtel.cm,1
AS34240,manitu.de,1
AS33363,chartercom.com,1
AS3320,telekom3.de,1
AS3303,swisscom.ch,1
AS329132,ncts.com.eg,1
AS11290,cogeco.com,1
AS327693,echosp.co.za,1
AS328817,simbafiber.co.zm,1
