ip,asn,city,region,country,loc
125.211.207.212,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '125.211.0.0/16', 'type': 'isp'}",Harbin,Heilongjiang,CN,"45.7500,126.6500"
117.149.243.251,"{'asn': 'AS56041', 'name': 'China Mobile communications corporation', 'domain': 'chinamobile.com', 'route': '117.149.243.0/24', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
45.125.58.156,"{'asn': 'AS139007', 'name': 'UNICOM InnerMongolia province network', 'domain': 'hh.nm.cn', 'route': '45.125.58.0/24', 'type': 'isp'}",Beijing,Beijing,CN,"39.9075,116.3972"
203.135.96.103,"{'asn': 'AS58461', 'name': 'CT-HangZhou-IDC', 'domain': 'chinatelecom.cn', 'route': '203.135.96.0/21', 'type': 'hosting'}",Shaoxing,Zhejiang,CN,"30.0024,120.5786"
116.211.143.46,"{'asn': 'AS58563', 'name': 'CHINANET Hubei province network', 'domain': 'chinatelecom.cn', 'route': '116.211.140.0/22', 'type': 'isp'}",Wuhan,Hubei,CN,"30.5833,114.2667"
120.132.31.194,"{'asn': 'AS140292', 'name': 'CHINATELECOM Jiangsu province Suzhou 5G network', 'domain': 'chinatelecom.cn', 'route': '120.132.0.0/19', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
120.132.9.234,"{'asn': 'AS140292', 'name': 'CHINATELECOM Jiangsu province Suzhou 5G network', 'domain': 'chinatelecom.cn', 'route': '120.132.0.0/19', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
119.23.80.111,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '119.23.0.0/17', 'type': 'business'}",Shenzhen,Guangdong,CN,"22.5455,114.0683"
210.16.180.107,"{'asn': 'AS4812', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '210.16.180.0/24', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
58.20.65.56,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '58.20.0.0/16', 'type': 'isp'}",Hunan,Fujian,CN,"25.9714,119.6457"
185.175.49.49,"{'asn': 'AS12708', 'name': 'TalkTalk Communications Limited', 'domain': 'talktalkplc.com', 'route': '185.175.48.0/22', 'type': 'isp'}",London,England,GB,"51.5085,-0.1257"
202.121.111.186,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '202.121.0.0/16', 'type': 'education'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
181.94.244.165,"{'asn': 'AS27895', 'name': 'Núcleo S.A.', 'domain': 'personal.com.py', 'route': '181.94.244.0/22', 'type': 'isp'}",Asunción,Asunción,PY,"-25.2865,-57.6470"
76.76.2.48,"{'asn': 'AS398962', 'name': 'CONTROLD INC.', 'domain': 'controld.com', 'route': '76.76.2.0/24', 'type': 'isp'}",Toronto,Ontario,CA,"43.6404,-79.3995"
60.28.81.129,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '60.28.80.0/20', 'type': 'isp'}",Tianjin,Tianjin,CN,"39.1422,117.1767"
59.110.244.83,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '59.110.128.0/17', 'type': 'business'}",Beijing,Beijing,CN,"39.9075,116.3972"
36.7.109.167,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '36.4.0.0/14', 'type': 'isp'}",Hefei,Anhui,CN,"31.8639,117.2808"
103.117.222.24,"{'asn': 'AS137788', 'name': 'Shanxi Beacon Cloudscape', 'domain': 'cnnic.cn', 'route': '103.117.220.0/22', 'type': 'business'}",Shanxi,Hunan,CN,"28.0317,110.9544"
103.45.121.150,"{'asn': 'AS63612', 'name': 'Shenzhen Qianhai bird cloud computing Co. Ltd.', 'domain': 'cnnic.cn', 'route': '103.45.121.0/24', 'type': 'hosting'}",Shenzhen,Guangdong,CN,"22.5455,114.0683"
43.248.136.71,"{'asn': 'AS23650', 'name': 'AS Number for CHINANET jiangsu province backbone', 'domain': 'rtat.net', 'route': '43.248.128.0/20', 'type': 'hosting'}",Nanjing,Jiangsu,CN,"32.0617,118.7778"
210.16.191.91,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '210.16.190.0/23', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
123.6.102.120,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '123.4.0.0/14', 'type': 'isp'}",Zhengzhou,Henan,CN,"34.7578,113.6486"
212.3.209.52,"{'asn': 'AS24921', 'name': 'Latvijas Mobilais Telefons SIA', 'domain': 'lmt.lv', 'route': '212.3.208.0/23', 'type': 'isp'}",Riga,Riga,LV,"56.9460,24.1059"
121.137.21.228,"{'asn': 'AS4766', 'name': 'Korea Telecom', 'domain': 'kt.com', 'route': '121.136.0.0/13', 'type': 'isp'}",Suwon,Gyeonggi-do,KR,"37.2911,127.0089"
39.107.196.37,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '39.106.0.0/15', 'type': 'business'}",Beijing,Beijing,CN,"39.9075,116.3972"
114.251.243.162,"{'asn': 'AS4808', 'name': 'China Unicom Beijing Province Network', 'domain': 'chinaunicom.cn', 'route': '114.251.192.0/18', 'type': 'isp'}",Beijing,Beijing,CN,"39.9075,116.3972"
103.21.117.127,"{'asn': 'AS138950', 'name': 'Jiangsu Wuxi International IDC network', 'domain': 'chinatelecom.cn', 'route': '103.21.116.0/22', 'type': 'isp'}",Nanjing,Jiangsu,CN,"32.0617,118.7778"
219.147.85.205,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '219.147.0.0/17', 'type': 'isp'}",Daqing,Heilongjiang,CN,"46.5833,125.0000"
112.124.157.60,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '112.124.0.0/14', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
223.4.222.1,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '223.4.0.0/15', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
112.124.157.180,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '112.124.0.0/14', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
222.73.201.45,"{'asn': 'AS4812', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '222.73.0.0/16', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
60.12.147.169,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '60.12.0.0/16', 'type': 'isp'}",Jinhua,Zhejiang,CN,"29.1068,119.6442"
211.152.60.189,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '211.152.60.0/24', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
159.75.30.155,"{'asn': 'AS45090', 'name': 'Shenzhen Tencent Computer Systems Company Limited', 'domain': 'tencent.com', 'route': '159.75.0.0/18', 'type': 'hosting'}",Shenzhen,Guangdong,CN,"22.5455,114.0683"
211.86.1.174,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '211.86.0.0/21', 'type': 'education'}",Haidian,Beijing,CN,"39.9906,116.2887"
218.65.178.216,"{'asn': 'AS137693', 'name': 'CHINATELECOM Guangxi Nanning IDC networkdescr: Nanning , Guangxi Province, P.R.China.', 'domain': '189.cn', 'route': '218.65.176.0/22', 'type': 'isp'}",Nanning,Guangxi,CN,"22.8167,108.3167"
172.64.37.176,"{'asn': 'AS13335', 'name': 'Cloudflare, Inc.', 'domain': 'cloudflare.com', 'route': '172.64.36.0/23', 'type': 'hosting'}",San Francisco,California,US,"37.7621,-122.3971"
